,time,drug,wm,output,correct,trial
479,4.79,GFC,0.013482874287567533,0.3208612977149266,1,3
480,4.8,GFC,0.01342996312886944,-0.6679417884149217,0,3
481,4.8100000000000005,GFC,0.01509981576290368,0.34608006782909684,1,3
482,4.82,GFC,0.008848436723500037,-0.8812821226551957,0,3
483,4.83,GFC,0.029238432749647124,-0.6485379232077717,0,3
484,4.84,GFC,0.018488570575905763,0.7557091409562202,1,3
485,4.8500000000000005,GFC,0.025976247215582803,-0.019966450409736214,0,3
486,4.86,GFC,0.01930329226557483,-0.1089917528979578,0,3
487,4.87,GFC,0.02790552447799449,-0.1947239569930168,0,3
488,4.88,GFC,0.018307787773385636,-0.43888867683550065,0,3
489,4.89,GFC,0.0156725846340861,0.2164513735990087,1,3
490,4.9,GFC,0.019500652767879288,-0.13314140799173635,0,3
491,4.91,GFC,0.020364059645488257,-0.1022162323335302,0,3
492,4.92,GFC,0.014952191416468667,-0.44760349031423075,0,3
493,4.93,GFC,0.02943878434437954,-0.3029921566135244,0,3
494,4.94,GFC,0.017119014396754055,-0.2206854156040136,0,3
495,4.95,GFC,0.03171045819418049,-0.04146589845768989,0,3
496,4.96,GFC,0.01192884838980583,-0.5746981632630335,0,3
497,4.97,GFC,0.032288827128665085,0.709167488135301,1,3
498,4.98,GFC,0.023328669250026312,-0.6208374776167407,0,3
499,4.99,GFC,0.019835249707008007,-0.15220599174070898,0,3
500,5.0,GFC,0.024405627700445773,-0.2577002477739564,0,3
501,5.01,GFC,0.02539549767584525,-0.04344804087597798,0,3
502,5.0200000000000005,GFC,0.023845918055699362,0.5486148434969538,1,3
503,5.03,GFC,0.018351333262893264,-1.070095331442391,0,3
504,5.04,GFC,0.022190602076254604,0.6974704127634277,1,3
505,5.05,GFC,0.028331845149714922,0.169715333548608,1,3
506,5.0600000000000005,GFC,0.02262562436833256,0.11723454969757187,1,3
507,5.07,GFC,0.031000897178075686,0.4518037038583705,1,3
508,5.08,GFC,0.017066719439193564,0.2774296229879808,1,3
509,5.09,GFC,0.025807341740417936,-0.402874375381667,0,3
510,5.1000000000000005,GFC,0.024933219727501586,0.3462585774677438,1,3
511,5.11,GFC,0.022061644974742327,-0.26277472211124403,0,3
512,5.12,GFC,0.022980443482556977,-0.3373582317943469,0,3
513,5.13,GFC,0.028324945538711864,0.34642420612770775,1,3
514,5.14,GFC,0.028017906880132552,-0.5472081409333953,0,3
515,5.15,GFC,0.016696809143095116,0.5821362400490464,1,3
516,5.16,GFC,0.027993220802363373,0.19948761769816242,1,3
517,5.17,GFC,0.03362635945466584,0.6168803959265806,1,3
518,5.18,GFC,0.029134679642936256,0.22038891160750096,1,3
519,5.19,GFC,0.0143790944546622,0.03942800596793769,1,3
520,5.2,GFC,0.024625902808600095,0.3168566389191342,1,3
521,5.21,GFC,0.03491785634679466,0.45763678016937204,1,3
522,5.22,GFC,0.02940407085491084,-0.1628674223322697,0,3
523,5.23,GFC,0.036933954036088165,-0.6337829162349138,0,3
524,5.24,GFC,0.04054630130242834,0.16869891865725878,1,3
525,5.25,GFC,0.024567125250153442,0.15410953202127592,1,3
526,5.26,GFC,0.02591987036503817,0.34667909399257046,1,3
527,5.2700000000000005,GFC,0.01922134300200339,0.296857892377581,1,3
528,5.28,GFC,0.027552786948472643,0.5463990509657279,1,3
529,5.29,GFC,0.03243174409154471,0.4590676521474797,1,3
530,5.3,GFC,0.02467369903604307,-0.09553309324446255,0,3
531,5.3100000000000005,GFC,0.01820106036561293,-0.20711232577320843,0,3
532,5.32,GFC,0.030758952296814523,0.6155994406817635,1,3
533,5.33,GFC,0.026669282417795197,0.48914726775525835,1,3
534,5.34,GFC,0.03245430285671371,-0.08473855033776793,0,3
535,5.3500000000000005,GFC,0.027090591236142894,-0.18333653662431232,0,3
536,5.36,GFC,0.02927184515493476,0.13853437742331304,1,3
537,5.37,GFC,0.01414938094380966,0.8132820997757141,1,3
538,5.38,GFC,0.02471732294216407,-0.3003442795033341,0,3
539,5.39,GFC,0.034754507994555275,-0.5991079655687829,0,3
540,5.4,GFC,0.011953784429594395,0.34046424061331193,1,3
541,5.41,GFC,0.028892994674329514,0.6060498739232578,1,3
542,5.42,GFC,0.02254828711362153,-0.43977794929181596,0,3
543,5.43,GFC,0.024056319201309493,-0.14776072975736468,0,3
544,5.44,GFC,0.025078001987162597,-0.1810850858072916,0,3
545,5.45,GFC,0.020660200005607393,-0.32018094279215,0,3
546,5.46,GFC,0.02116662551640375,0.01425707369051802,1,3
547,5.47,GFC,0.020712546085183095,-0.3302415412563007,0,3
548,5.48,GFC,0.018685528290725183,-0.3508794276254084,0,3
549,5.49,GFC,0.01969780683177956,-0.2255239836192265,0,3
550,5.5,GFC,0.029395249717126655,-0.18170575626081498,0,3
551,5.51,GFC,0.0264812457678025,0.5017288564149875,1,3
552,5.5200000000000005,GFC,0.028053537221079894,-0.2818093596807907,0,3
553,5.53,GFC,0.032238907233137444,-0.40746123153168323,0,3
554,5.54,GFC,0.024298835468526583,-0.7225284706732711,0,3
555,5.55,GFC,0.0278232396694015,-0.016526296947582758,0,3
556,5.5600000000000005,GFC,0.019751258457142,-0.19237725430224592,0,3
557,5.57,GFC,0.023173284668691882,0.5437271007738811,1,3
558,5.58,GFC,0.034175236817844575,0.09265471436603208,1,3
559,5.59,GFC,0.025529249941125813,0.34450196897881,1,3
560,5.6000000000000005,GFC,0.032519504415181436,-1.4025944485811088,0,3
561,5.61,GFC,0.028467408919486424,-0.01304280993243858,0,3
562,5.62,GFC,0.0335136819763895,-0.38537687762064116,0,3
563,5.63,GFC,0.02966579270749476,-0.7837125216687721,0,3
564,5.64,GFC,0.029168617466130177,0.5720744491126015,1,3
565,5.65,GFC,0.027543257603768155,-0.6078787152807255,0,3
566,5.66,GFC,0.037986958550391234,0.6922978684102853,1,3
567,5.67,GFC,0.03398314937643838,-0.4687753288950352,0,3
568,5.68,GFC,0.03502108192961522,0.1295953045661118,1,3
569,5.69,GFC,0.04145189969537689,-0.2342733309456214,0,3
